Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/8/2014,AQS,371830014,1,0.033,ppm,31,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/9/2014,AQS,371830014,1,0.03,ppm,28,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/10/2014,AQS,371830014,1,0.028,ppm,26,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/11/2014,AQS,371830014,1,0.032,ppm,30,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/12/2014,AQS,371830014,1,0.033,ppm,31,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/13/2014,AQS,371830014,1,0.029,ppm,27,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/14/2014,AQS,371830014,1,0.04,ppm,37,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/15/2014,AQS,371830014,1,0.041,ppm,38,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/16/2014,AQS,371830014,1,0.04,ppm,37,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/17/2014,AQS,371830014,1,0.039,ppm,36,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/18/2014,AQS,371830014,1,0.04,ppm,37,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/19/2014,AQS,371830014,1,0.03,ppm,28,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/20/2014,AQS,371830014,1,0.041,ppm,38,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/21/2014,AQS,371830014,1,0.03,ppm,28,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/22/2014,AQS,371830014,1,0.041,ppm,38,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/23/2014,AQS,371830014,1,0.044,ppm,41,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/24/2014,AQS,371830014,1,0.042,ppm,39,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/25/2014,AQS,371830014,1,0.034,ppm,31,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/26/2014,AQS,371830014,1,0.033,ppm,31,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/27/2014,AQS,371830014,1,0.039,ppm,36,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/28/2014,AQS,371830014,1,0.04,ppm,37,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/1/2014,AQS,371830014,1,0.041,ppm,38,Millbrook School,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
